Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Pollack, Aaron","
MATH 100C - Abstract Algebra III (A)
",SP23,31,"
12
","
100.0%
","
100.0%
","
7.90
","
B+ (3.38)
","
B+ (3.54)
"
"Sorensen, Claus M","
MATH 100C - Abstract Algebra III (A)
",SP22,42,"
36
","
94.4%
","
88.9%
","
9.41
","
B (3.26)
","
B (3.06)
"
"Salehi Golsefidy, Alireza","
MATH 100C - Abstract Algebra III (A)
",SP21,23,"
18
","
83.3%
","
88.9%
","
10.50
","
B (3.29)
","
B+ (3.32)
"
"Rhoades, Brendon Patrick","
MATH 100C - Abstract Algebra III (A)
",SP20,30,"
19
","
94.7%
","
94.7%
","
9.55
","
B+ (3.43)
","
B+ (3.39)
"
"Popescu, Cristian D.","
MATH 100C - Abstract Algebra III (A)
",SP19,35,"
7
","
100.0%
","
100.0%
","
10.50
","
B (3.00)
","
B+ (3.69)
"
"Kedlaya, Kiran S.","
MATH 100C - Abstract Algebra III (A)
",SP18,24,"
12
","
100.0%
","
83.3%
","
13.17
","
B+ (3.36)
","
B (3.01)
"
"Rhoades, Brendon Patrick","
MATH 100C - Abstract Algebra III (A)
",SP17,21,"
19
","
94.7%
","
100.0%
","
8.92
","
B (3.21)
","
B+ (3.43)
"
"Rogalski, Daniel","
MATH 100C - Abstract Algebra III (A)
",SP16,21,"
10
","
100.0%
","
90.0%
","
7.70
","
A- (3.78)
","
B+ (3.34)
"
"Evans, Ronald J.","
MATH 100C - Abstract Algebra III (A)
",SP15,22,"
11
","
72.7%
","
100.0%
","
6.32
","
B+ (3.36)
","
B+ (3.55)
"
"Popescu, Cristian D.","
MATH 100C - Abstract Algebra III (A)
",SP14,13,"
6
","
100.0%
","
100.0%
","
10.10
","
B- (2.80)
","
N/A
"
"Bucur, Alina Ioana","
MATH 100C - Abstract Algebra III (A)
",SP13,9,"
5
","
100.0%
","
100.0%
","
5.50
","
B+ (3.40)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Klevdal, Christian Sleek","
MATH 102 - Applied Linear Algebra (A)
",SP23,103,"
43
","
77.5%
","
71.8%
","
5.99
","
B (3.29)
","
B (3.12)
"
"Nag, Panchali","
MATH 102 - Applied Linear Algebra (B)
",SP23,107,"
97
","
91.8%
","
91.8%
","
6.11
","
B+ (3.34)
","
B+ (3.45)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",WI23,15,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
N/A
"
"Ophir, Amit","
MATH 102 - Applied Linear Algebra (B)
",WI23,93,"
31
","
89.7%
","
82.8%
","
6.71
","
B+ (3.43)
","
C+ (2.48)
"
"Hodges, Reuven Moses","
MATH 102 - Applied Linear Algebra (A)
",FA22,121,"
79
","
92.3%
","
96.1%
","
8.06
","
B+ (3.30)
","
B- (2.84)
"
"Hodges, Reuven Moses","
MATH 102 - Applied Linear Algebra (B)
",FA22,99,"
71
","
90.0%
","
98.6%
","
7.96
","
B+ (3.36)
","
B (3.02)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S222,24,"
6
","
100.0%
","
83.3%
","
8.83
","
B+ (3.67)
","
C+ (2.33)
"
"Zhang, Ming","
MATH 102 - Applied Linear Algebra (A)
",SP22,136,"
109
","
94.4%
","
97.2%
","
8.09
","
B+ (3.67)
","
B+ (3.31)
"
"Hodges, Reuven Moses","
MATH 102 - Applied Linear Algebra (B)
",SP22,131,"
95
","
98.9%
","
100.0%
","
7.31
","
B+ (3.46)
","
B (3.01)
"
"Eggers, John Dietrich","
MATH 102 - Applied Linear Algebra (A)
",WI22,131,"
36
","
88.6%
","
94.3%
","
7.53
","
B+ (3.44)
","
B- (2.97)
"
"Zhang, Ming","
MATH 102 - Applied Linear Algebra (B)
",WI22,105,"
74
","
83.8%
","
90.5%
","
8.28
","
B (3.23)
","
B- (2.81)
"
"Vavalis, Emmanuel","
MATH 102 - Applied Linear Algebra (A)
",FA21,107,"
48
","
52.1%
","
27.1%
","
7.39
","
B (3.06)
","
C+ (2.55)
"
"Ganzberger, Geoffrey Michael","
MATH 102 - Applied Linear Algebra (B)
",FA21,65,"
22
","
90.5%
","
95.2%
","
7.70
","
B (3.24)
","
B- (2.90)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S221,47,"
14
","
84.6%
","
53.8%
","
10.50
","
B+ (3.50)
","
B- (2.98)
"
"Eggers, John Dietrich","
MATH 102 - Applied Linear Algebra (A)
",SP21,141,"
44
","
87.8%
","
92.7%
","
7.43
","
A- (3.77)
","
B+ (3.65)
"
"Dressler, Mareike","
MATH 102 - Applied Linear Algebra (B)
",SP21,127,"
44
","
88.4%
","
69.8%
","
9.52
","
B+ (3.39)
","
B- (2.72)
"
"Dressler, Mareike","
MATH 102 - Applied Linear Algebra (A)
",WI21,104,"
43
","
63.4%
","
51.2%
","
9.04
","
B (3.29)
","
B (3.10)
"
"Rabin, Jeffrey Mark","
MATH 102 - Applied Linear Algebra (B)
",WI21,48,"
14
","
78.6%
","
71.4%
","
8.50
","
B- (2.92)
","
B- (2.96)
"
"Dressler, Mareike","
MATH 102 - Applied Linear Algebra (A)
",FA20,99,"
36
","
65.7%
","
64.7%
","
10.27
","
B+ (3.41)
","
C+ (2.44)
"
"Vavalis, Emmanuel","
MATH 102 - Applied Linear Algebra (B)
",FA20,99,"
29
","
67.9%
","
60.7%
","
4.71
","
B+ (3.44)
","
B+ (3.40)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S220,65,"
11
","
40.0%
","
22.2%
","
13.30
","
B+ (3.56)
","
B- (2.95)
"
"Tamam, Nattalie","
MATH 102 - Applied Linear Algebra (A)
",SP20,104,"
29
","
75.0%
","
75.0%
","
9.02
","
B- (2.93)
","
B (3.11)
"
"Dressler, Mareike","
MATH 102 - Applied Linear Algebra (B)
",SP20,133,"
42
","
78.9%
","
86.1%
","
7.50
","
B+ (3.43)
","
B (3.17)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",WI20,45,"
16
","
93.3%
","
93.3%
","
7.63
","
B+ (3.50)
","
B+ (3.36)
"
"Rabin, Jeffrey Mark","
MATH 102 - Applied Linear Algebra (B)
",WI20,118,"
37
","
72.7%
","
63.6%
","
8.32
","
B- (2.97)
","
C+ (2.65)
"
"Savvas, Michail","
MATH 102 - Applied Linear Algebra (A)
",FA19,246,"
105
","
99.0%
","
99.0%
","
7.09
","
A- (3.73)
","
B+ (3.60)
"
"Green, Nathan E","
MATH 102 - Applied Linear Algebra (B)
",FA19,63,"
23
","
87.0%
","
95.7%
","
6.85
","
B+ (3.33)
","
B- (2.93)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S219,25,"
10
","
88.9%
","
77.8%
","
11.83
","
B+ (3.56)
","
C+ (2.41)
"
"Savvas, Michail","
MATH 102 - Applied Linear Algebra (A)
",SP19,145,"
52
","
100.0%
","
100.0%
","
6.11
","
B+ (3.66)
","
B+ (3.47)
"
"Dressler, Mareike","
MATH 102 - Applied Linear Algebra (B)
",SP19,145,"
42
","
66.7%
","
57.1%
","
6.61
","
B- (2.94)
","
C+ (2.39)
"
"Eggers, John Dietrich","
MATH 102 - Applied Linear Algebra (A)
",WI19,82,"
34
","
90.9%
","
84.4%
","
9.35
","
B (3.19)
","
C+ (2.49)
"
"Tamam, Nattalie","
MATH 102 - Applied Linear Algebra (B)
",WI19,52,"
19
","
78.9%
","
68.4%
","
7.94
","
B (3.17)
","
C (2.27)
"
"Green, Nathan E","
MATH 102 - Applied Linear Algebra (A)
",FA18,184,"
74
","
92.6%
","
95.5%
","
6.13
","
B+ (3.38)
","
B (3.05)
"
"Au, Benson C","
MATH 102 - Applied Linear Algebra (B)
",FA18,56,"
26
","
60.9%
","
68.2%
","
9.20
","
B- (2.96)
","
B- (2.76)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S218,76,"
11
","
100.0%
","
90.0%
","
9.95
","
B+ (3.40)
","
C- (1.71)
"
"Huynh, Thang L","
MATH 102 - Applied Linear Algebra (A)
",WI18,269,"
90
","
88.9%
","
71.6%
","
6.18
","
B+ (3.49)
","
B- (2.73)
"
"Strahl, Perry Robert","
MATH 102 - Applied Linear Algebra (B)
",WI18,45,"
31
","
67.7%
","
71.0%
","
7.43
","
B (3.16)
","
C+ (2.64)
"
"Novak, Jonathan I","
MATH 102 - Applied Linear Algebra (A)
",FA17,124,"
107
","
82.2%
","
79.4%
","
7.41
","
B (3.12)
","
B+ (3.55)
"
"Licht, Martin W","
MATH 102 - Applied Linear Algebra (B)
",FA17,158,"
94
","
90.2%
","
86.8%
","
6.46
","
B+ (3.56)
","
B+ (3.44)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",S117,85,"
28
","
88.9%
","
92.6%
","
10.88
","
B+ (3.58)
","
B- (2.75)
"
"Li, Bo","
MATH 102 - Applied Linear Algebra (A)
",WI17,229,"
62
","
91.2%
","
86.0%
","
6.38
","
B+ (3.46)
","
B- (2.88)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",FA16,177,"
58
","
88.9%
","
79.6%
","
7.39
","
B (3.14)
","
C (2.16)
"
"Jiang, Zonglin","
MATH 102 - Applied Linear Algebra (A)
",S216,101,"
30
","
80.0%
","
80.0%
","
9.50
","
B+ (3.43)
","
C+ (2.53)
"
"Sangha, Luvreet Singh","
MATH 102 - Applied Linear Algebra (A)
",S216,130,"
25
","
84.2%
","
63.2%
","
9.17
","
B+ (3.50)
","
N/A
"
"Dilts, James Paul","
MATH 102 - Applied Linear Algebra (A)
",WI16,134,"
100
","
86.7%
","
82.7%
","
7.07
","
B (3.18)
","
B (3.24)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",FA15,137,"
56
","
94.3%
","
88.7%
","
8.50
","
B (3.18)
","
B- (2.94)
"
"Rideout, David Porter","
MATH 102 - Applied Linear Algebra (A)
",S215,70,"
20
","
84.2%
","
57.9%
","
9.61
","
B+ (3.42)
","
B (3.15)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",WI15,99,"
31
","
89.7%
","
89.7%
","
6.64
","
B+ (3.58)
","
C+ (2.32)
"
"Eggers, John Dietrich","
MATH 102 - Applied Linear Algebra (A)
",FA14,113,"
43
","
73.0%
","
70.3%
","
9.06
","
B (3.26)
","
B- (2.82)
"
"Rideout, David Porter","
MATH 102 - Applied Linear Algebra (A)
",S214,45,"
9
","
66.7%
","
66.7%
","
11.17
","
B+ (3.56)
","
B- (2.90)
"
"Harel, Guershon","
MATH 102 - Applied Linear Algebra (A)
",WI14,69,"
23
","
95.5%
","
86.4%
","
6.21
","
B+ (3.55)
","
C (2.29)
"
"Stevens, Laura Jeanne","
MATH 102 - Applied Linear Algebra (A)
",FA13,104,"
73
","
97.3%
","
100.0%
","
6.03
","
B+ (3.52)
","
B- (2.79)
"
"Lobue, Janine","
MATH 102 - Applied Linear Algebra (A)
",S213,54,"
12
","
83.3%
","
91.7%
","
11.00
","
B (3.00)
","
B- (2.71)
"
"Oprea, Dragos N.","
MATH 102 - Applied Linear Algebra (A)
",WI13,115,"
44
","
93.2%
","
93.2%
","
5.93
","
B (3.28)
","
B- (2.74)
"
"Soltys-Kulinicz, Michael","
MATH 102 - Applied Linear Algebra (A)
",FA12,96,"
42
","
75.7%
","
86.5%
","
6.18
","
B (3.29)
","
B- (2.83)
"
"Wenzl, Hans G                      ","
MATH 102 - Applied Linear Algebra         (A)
",FA10,89,"
37
","
86.5%
","
54.1%
","
7.26
","
B (3.17)
","
B- (2.80)
"
"Li, Bo                             ","
MATH 102 - Applied Linear Algebra         (A)
",SP10,155,"
71
","
88.2%
","
82.6%
","
5.84
","
B+ (3.44)
","
B- (2.72)
"
"Harmse, Johannes Andreas           ","
MATH 102 - Applied Linear Algebra         (A)
",WI10,46,"
18
","
100.0%
","
88.9%
","
8.06
","
B+ (3.36)
","
B- (2.77)
"
"Lin, James P.                      ","
MATH 102 - Applied Linear Algebra         (A)
",SP09,87,"
38
","
88.9%
","
75.0%
","
6.28
","
B+ (3.35)
","
C+ (2.47)
"
"Linshaw, Andrew Ross","
MATH 102 - Applied Linear Algebra         (A)
",WI09,67,"
33
","
75.8%
","
66.7%
","
6.69
","
B (3.19)
","
C+ (2.65)
"
"Szypowski, Ryan S.                 ","
MATH 102 - Applied Linear Algebra         (A)
",FA08,63,"
36
","
94.1%
","
97.1%
","
6.17
","
B+ (3.36)
","
B- (2.88)
"
"Wenzl, Hans G                 ","
MATH 102 - Applied Linear Algebra         (A)
",SP08,55,"
36
","
65.7%
","
65.7%
","
6.56
","
B (3.26)
","
C+ (2.34)
"
"Evans, Ronald J.              ","
MATH 102 - Applied Linear Algebra         (A)
",WI08,67,"
36
","
75.0%
","
77.8%
","
4.50
","
B (3.24)
","
B (3.04)
"
"Clark, David A.               ","
MATH 102 - Applied Linear Algebra         (A)
",FA07,43,"
25
","
84.0%
","
96.0%
","
5.75
","
B (3.17)
","
C+ (2.60)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Zhang, Ming","
MATH 103A - Modern Algebra I (A)
",WI23,72,"
56
","
89.3%
","
94.6%
","
7.29
","
B+ (3.48)
","
C+ (2.69)
"
"Chung, Kwun","
MATH 103A - Modern Algebra I (B)
",WI23,65,"
24
","
73.9%
","
68.2%
","
8.76
","
C+ (2.70)
","
B- (2.92)
"
"Aycock, Jon Merrill","
MATH 103A - Modern Algebra I (C)
",WI23,60,"
22
","
80.0%
","
85.0%
","
7.00
","
B (3.19)
","
C (2.25)
"
"Klevdal, Christian Sleek","
MATH 103A - Modern Algebra I (A)
",FA22,21,"
7
","
100.0%
","
100.0%
","
7.64
","
A- (3.86)
","
C+ (2.60)
"
"Seward, Brandon M.","
MATH 103A - Modern Algebra I (B)
",FA22,73,"
22
","
90.9%
","
100.0%
","
6.69
","
B+ (3.32)
","
A- (3.85)
"
"Agrawal, Shishir","
MATH 103A - Modern Algebra I (C)
",FA22,66,"
40
","
82.5%
","
92.5%
","
8.90
","
B+ (3.40)
","
B (3.00)
"
"Ophir, Amit","
MATH 103A - Modern Algebra I (D)
",FA22,72,"
25
","
76.2%
","
81.0%
","
9.10
","
B (3.25)
","
B (3.08)
"
"Greenfeld, Be'Eri","
MATH 103A - Modern Algebra I (A)
",S122,90,"
20
","
78.9%
","
72.2%
","
11.21
","
B- (2.79)
","
B- (2.84)
"
"Greenfeld, Be'Eri","
MATH 103A - Modern Algebra I (B)
",S122,93,"
9
","
100.0%
","
100.0%
","
6.94
","
B (3.22)
","
B- (2.77)
"
"Hodges, Reuven Moses","
MATH 103A - Modern Algebra I (A)
",WI22,57,"
22
","
95.2%
","
100.0%
","
7.74
","
B+ (3.48)
","
B- (2.71)
"
"Edie-Michell, Cain","
MATH 103A - Modern Algebra I (B)
",WI22,63,"
24
","
87.5%
","
87.5%
","
7.83
","
B+ (3.38)
","
B- (2.87)
"
"Lahiri, Aranya","
MATH 103A - Modern Algebra I (C)
",WI22,66,"
34
","
81.3%
","
90.6%
","
8.63
","
B (3.28)
","
B (3.23)
"
"Suk, Andrew Hoon","
MATH 103A - Modern Algebra I (A)
",FA21,66,"
57
","
91.2%
","
96.5%
","
7.31
","
B (3.21)
","
C+ (2.65)
"
"Zhang, Ming","
MATH 103A - Modern Algebra I (B)
",FA21,56,"
36
","
85.7%
","
97.1%
","
8.44
","
B+ (3.44)
","
B- (2.81)
"
"Lahiri, Aranya","
MATH 103A - Modern Algebra I (C)
",FA21,20,"
10
","
80.0%
","
100.0%
","
6.50
","
B (3.20)
","
B- (2.80)
"
"Hodges, Reuven Moses","
MATH 103A - Modern Algebra I (D)
",FA21,63,"
20
","
95.0%
","
100.0%
","
7.50
","
B+ (3.60)
","
C+ (2.69)
"
"Salehi Golsefidy, Alireza","
MATH 103A - Modern Algebra I (A)
",S121,50,"
35
","
55.9%
","
64.7%
","
12.32
","
B- (2.79)
","
B- (2.81)
"
"Meyer, Kyle Phillip","
MATH 103A - Modern Algebra I (B)
",S121,46,"
11
","
72.7%
","
45.5%
","
11.77
","
B- (2.90)
","
C+ (2.33)
"
"Green, Nathan E","
MATH 103A - Modern Algebra I (A)
",WI21,56,"
45
","
84.4%
","
100.0%
","
7.86
","
B (3.10)
","
B (3.26)
"
"Wenzl, Hans G","
MATH 103A - Modern Algebra I (B)
",WI21,20,"
8
","
85.7%
","
85.7%
","
8.21
","
B (3.25)
","
C+ (2.48)
"
"Copeland, Daniel Reuben","
MATH 103A - Modern Algebra I (C)
",WI21,60,"
26
","
100.0%
","
100.0%
","
7.11
","
B+ (3.38)
","
B (3.10)
"
"Upton, James Thomas","
MATH 103A - Modern Algebra I (A)
",FA20,54,"
22
","
71.4%
","
81.0%
","
7.93
","
B- (2.90)
","
B- (2.94)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (B)
",FA20,65,"
57
","
63.2%
","
68.4%
","
7.97
","
B- (2.93)
","
B (3.20)
"
"Lee, Kisun","
MATH 103A - Modern Algebra I (C)
",FA20,20,"
7
","
42.9%
","
57.1%
","
9.64
","
B (3.29)
","
B (3.21)
"
"Griffin, Sean Thomas","
MATH 103A - Modern Algebra I (D)
",FA20,20,"
8
","
100.0%
","
100.0%
","
5.93
","
B+ (3.43)
","
B (3.29)
"
"Kitsela, Roman","
MATH 103A - Modern Algebra I (A)
",S120,132,"
20
","
68.4%
","
57.9%
","
12.30
","
B- (2.89)
","
B (3.08)
"
"De Vleming, Kristin Elizab","
MATH 103A - Modern Algebra I (A)
",WI20,35,"
16
","
86.7%
","
92.9%
","
7.57
","
B (3.20)
","
B+ (3.37)
"
"Wiersma, Matthew T.","
MATH 103A - Modern Algebra I (B)
",WI20,74,"
60
","
98.3%
","
98.3%
","
7.30
","
B (3.28)
","
C+ (2.56)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (C)
",WI20,53,"
21
","
85.0%
","
85.0%
","
8.90
","
B (3.00)
","
B- (2.80)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",FA19,52,"
35
","
84.8%
","
90.9%
","
6.92
","
B (3.00)
","
B- (2.99)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (B)
",FA19,36,"
30
","
82.8%
","
96.6%
","
7.90
","
B (3.10)
","
B+ (3.42)
"
"Zelmanov, Efim I","
MATH 103A - Modern Algebra I (C)
",FA19,56,"
19
","
88.9%
","
94.4%
","
4.61
","
B (3.22)
","
B- (2.86)
"
"Strahl, Perry Robert","
MATH 103A - Modern Algebra I (A)
",S119,38,"
30
","
83.3%
","
93.3%
","
7.63
","
B (3.03)
","
B (3.22)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (B)
",S119,39,"
20
","
95.0%
","
95.0%
","
8.10
","
B+ (3.30)
","
B- (2.88)
"
"Wenzl, Hans G","
MATH 103A - Modern Algebra I (A)
",WI19,54,"
19
","
88.9%
","
100.0%
","
6.18
","
B (3.16)
","
C+ (2.41)
"
"Mohammadi, Amir","
MATH 103A - Modern Algebra I (B)
",WI19,40,"
12
","
100.0%
","
100.0%
","
6.50
","
B+ (3.67)
","
C+ (2.56)
"
"Anzaldo, Leesa B","
MATH 103A - Modern Algebra I (C)
",WI19,120,"
50
","
83.0%
","
97.8%
","
8.17
","
B (3.02)
","
B- (2.89)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",FA18,51,"
29
","
93.1%
","
100.0%
","
7.50
","
B (3.00)
","
B- (2.71)
"
"Zelmanov, Efim I","
MATH 103A - Modern Algebra I (B)
",FA18,97,"
28
","
80.8%
","
80.8%
","
5.96
","
B (3.08)
","
C+ (2.61)
"
"Mohammadi, Amir","
MATH 103A - Modern Algebra I (C)
",FA18,100,"
34
","
63.0%
","
59.3%
","
7.96
","
B (3.12)
","
C (2.15)
"
"Carter, Anne Toulson","
MATH 103A - Modern Algebra I (A)
",S118,107,"
22
","
94.7%
","
83.3%
","
11.97
","
B+ (3.37)
","
C+ (2.66)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",WI18,65,"
39
","
84.6%
","
97.4%
","
6.82
","
B- (2.95)
","
B- (2.82)
"
"Popescu, Cristian D.","
MATH 103A - Modern Algebra I (B)
",WI18,65,"
30
","
85.7%
","
88.5%
","
9.57
","
C+ (2.61)
","
B- (2.78)
"
"Stapleton, David John","
MATH 103A - Modern Algebra I (D)
",WI18,66,"
28
","
77.8%
","
96.2%
","
8.87
","
B (3.11)
","
C+ (2.69)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (A)
",FA17,135,"
118
","
72.4%
","
79.3%
","
8.66
","
B- (2.98)
","
B (3.02)
"
"Novak, Jonathan I","
MATH 103A - Modern Algebra I (B)
",FA17,142,"
138
","
86.9%
","
94.9%
","
6.60
","
B+ (3.40)
","
B (3.19)
"
"Rideout, David Porter","
MATH 103A - Modern Algebra I (A)
",S117,133,"
38
","
42.4%
","
24.2%
","
10.61
","
B (3.08)
","
C+ (2.43)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",WI17,64,"
40
","
94.6%
","
97.3%
","
6.44
","
B- (2.97)
","
B- (2.76)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",FA16,68,"
33
","
93.5%
","
100.0%
","
6.78
","
B- (2.97)
","
B- (2.77)
"
"Carter, Anne Toulson","
MATH 103A - Modern Algebra I (B)
",FA16,69,"
34
","
90.6%
","
96.9%
","
7.02
","
B+ (3.63)
","
B (3.15)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (C)
",FA16,44,"
37
","
83.8%
","
81.1%
","
8.21
","
B (3.11)
","
B (3.06)
"
"Pelayo, Alvaro","
MATH 103A - Modern Algebra I (A)
",WI16,62,"
29
","
85.2%
","
92.6%
","
7.02
","
B- (2.88)
","
C+ (2.66)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (A)
",FA15,102,"
36
","
86.1%
","
66.7%
","
6.84
","
B (3.11)
","
C+ (2.67)
"
"Sorensen, Claus M","
MATH 103A - Modern Algebra I (A)
",FA14,49,"
24
","
85.7%
","
95.2%
","
6.31
","
B (3.10)
","
B- (2.89)
"
