Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA18,182,"
104
","
95.0%
","
97.0%
","
5.09
","
B+ (3.45)
","
B+ (3.36)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S118,19,"
18
","
100.0%
","
100.0%
","
8.28
","
B+ (3.47)
","
N/A
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",SP18,116,"
42
","
95.0%
","
97.5%
","
4.45
","
B+ (3.41)
","
B- (2.73)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",WI18,175,"
79
","
89.3%
","
90.3%
","
3.53
","
B+ (3.52)
","
B (3.06)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA17,175,"
98
","
96.8%
","
97.8%
","
4.92
","
B+ (3.49)
","
B+ (3.43)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S117,51,"
46
","
97.8%
","
97.8%
","
4.09
","
A- (3.80)
","
B+ (3.66)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",WI17,160,"
58
","
98.1%
","
100.0%
","
4.42
","
B+ (3.53)
","
B (3.14)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA16,59,"
26
","
100.0%
","
95.7%
","
5.46
","
B+ (3.65)
","
A- (3.91)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S116,23,"
7
","
85.7%
","
85.7%
","
5.64
","
B+ (3.40)
","
A (4.00)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",WI16,74,"
38
","
97.2%
","
94.4%
","
4.67
","
B (3.28)
","
B (3.16)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA15,81,"
41
","
92.7%
","
97.6%
","
4.80
","
B+ (3.51)
","
B (3.15)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S115,16,"
4
","
75.0%
","
75.0%
","
5.50
","
A- (3.75)
","
N/A
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",SP15,82,"
32
","
90.0%
","
73.3%
","
4.57
","
B (3.25)
","
B (3.08)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",WI15,61,"
29
","
96.6%
","
96.6%
","
3.71
","
B+ (3.46)
","
B (3.28)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA14,128,"
59
","
92.0%
","
90.0%
","
5.17
","
B+ (3.31)
","
B- (2.89)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S114,20,"
7
","
100.0%
","
100.0%
","
6.50
","
A- (3.71)
","
B+ (3.61)
"
"Boroditsky, Lera","
COGS 11 - Minds & Brains (A)
",SP14,78,"
36
","
94.3%
","
94.3%
","
4.09
","
B (3.27)
","
B (3.12)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",WI14,121,"
60
","
94.7%
","
87.7%
","
4.22
","
B+ (3.52)
","
B+ (3.31)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA13,140,"
75
","
90.3%
","
93.1%
","
5.60
","
B+ (3.30)
","
B (3.19)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",S113,23,"
12
","
83.3%
","
100.0%
","
8.50
","
B+ (3.50)
","
B+ (3.58)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",SP13,118,"
45
","
97.8%
","
95.6%
","
6.18
","
B (3.15)
","
B (3.05)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",WI13,126,"
60
","
96.6%
","
96.6%
","
4.64
","
B+ (3.36)
","
B (3.10)
"
"Boyle, Mary E. T.","
COGS 11 - Minds & Brains (A)
",FA12,157,"
77
","
92.8%
","
94.2%
","
5.22
","
B+ (3.61)
","
B (3.21)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",FA10,191,"
106
","
98.1%
","
96.2%
","
4.96
","
B+ (3.46)
","
B (3.22)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",SU10,22,"
9
","
88.9%
","
88.9%
","
4.50
","
A- (3.71)
","
N/A
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",SP10,148,"
71
","
97.1%
","
95.7%
","
3.64
","
B+ (3.31)
","
B (3.12)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",WI10,187,"
80
","
93.7%
","
86.1%
","
4.18
","
B+ (3.43)
","
B- (2.75)
"
"Barrera, Steven James              ","
COGS 11 - Minds & Brains                 (A)
",FA09,181,"
117
","
100.0%
","
100.0%
","
3.22
","
B+ (3.53)
","
B+ (3.47)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",SU09,17,"
3
","
100.0%
","
100.0%
","
6.50
","
B+ (3.33)
","
N/A
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",SP09,187,"
111
","
97.2%
","
92.6%
","
3.73
","
B+ (3.60)
","
B+ (3.35)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",FA08,176,"
125
","
97.6%
","
99.2%
","
3.44
","
A- (3.71)
","
A- (3.70)
"
"Boyle, Mary E. T.                  ","
COGS 11 - Minds & Brains                 (A)
",SU08,18,"
17
","
94.1%
","
100.0%
","
6.50
","
B+ (3.56)
","
N/A
"
"Boyle, Mary E. T.             ","
COGS 11 - Minds & Brains                 (A)
",SP08,126,"
88
","
100.0%
","
95.4%
","
2.94
","
A- (3.75)
","
B+ (3.44)
"
"Boyle, Mary E. T.             ","
COGS 11 - Minds & Brains                 (A)
",WI08,152,"
89
","
96.6%
","
97.7%
","
3.60
","
B+ (3.50)
","
B+ (3.60)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA22,68,"
20
","
88.9%
","
83.3%
","
5.55
","
B- (2.89)
","
B (3.16)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA21,71,"
23
","
95.5%
","
95.5%
","
4.77
","
B+ (3.55)
","
B (3.09)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA20,57,"
22
","
90.0%
","
100.0%
","
6.00
","
B+ (3.58)
","
B (3.14)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA19,54,"
25
","
81.8%
","
81.8%
","
5.64
","
B (3.21)
","
B (3.00)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA18,76,"
39
","
91.4%
","
85.7%
","
4.96
","
B (3.24)
","
B (3.19)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA17,45,"
19
","
83.3%
","
88.9%
","
5.50
","
B- (2.89)
","
B- (2.95)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",WI17,44,"
11
","
70.0%
","
60.0%
","
7.30
","
B (3.10)
","
B- (2.91)
"
"Blumenthal, Emily Jeanne","
COGS 110 - The Developing Mind (A)
",WI16,70,"
60
","
93.3%
","
91.7%
","
3.75
","
B+ (3.35)
","
B (3.11)
"
"Blumenthal, Emily Jeanne","
COGS 110 - The Developing Mind (A)
",SP15,48,"
33
","
80.6%
","
93.5%
","
3.03
","
B+ (3.40)
","
B+ (3.35)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA13,82,"
31
","
71.4%
","
46.4%
","
4.50
","
B+ (3.33)
","
B (3.02)
"
"Deak, Gedeon O.","
COGS 110 - The Developing Mind (A)
",FA12,55,"
13
","
84.6%
","
69.2%
","
4.35
","
B+ (3.36)
","
B (3.15)
"
"Deak, Gedeon O.                    ","
COGS 110 - The Developing Mind            (A)
",FA10,55,"
22
","
77.3%
","
72.7%
","
5.95
","
B (3.14)
","
B- (2.92)
"
"Deak, Gedeon O.                    ","
COGS 110 - The Developing Mind            (A)
",FA09,57,"
43
","
58.1%
","
65.1%
","
4.59
","
B (3.05)
","
B (3.00)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hoffman, Drew Ellen","
COGS 111 - Beauty and the Brain (A)
",WI23,175,"
63
","
100.0%
","
100.0%
","
3.63
","
A- (3.90)
","
B+ (3.60)
"
"Hoffman, Drew Ellen","
COGS 111 - Beauty and the Brain (A)
",WI21,130,"
55
","
92.6%
","
96.3%
","
4.61
","
B+ (3.68)
","
A- (3.79)
"
"Hoffman, Drew Ellen","
COGS 111 - Beauty and the Brain (A)
",WI20,47,"
20
","
100.0%
","
100.0%
","
3.87
","
A- (3.89)
","
A- (3.87)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Hoffman, Drew Ellen","
COGS 112 - Humor (A)
",SP23,187,"
60
","
98.2%
","
100.0%
","
3.05
","
A- (3.81)
","
A- (3.81)
"
"Hoffman, Drew Ellen","
COGS 112 - Humor (B)
",SP21,155,"
62
","
100.0%
","
100.0%
","
2.89
","
A- (3.72)
","
B+ (3.53)
"
"Hoffman, Drew Ellen","
COGS 112 - Humor (A)
",SP20,86,"
31
","
100.0%
","
100.0%
","
3.37
","
A- (3.87)
","
A- (3.93)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI23,58,"
12
","
91.7%
","
91.7%
","
5.23
","
B (3.00)
","
B (3.22)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI22,53,"
21
","
95.2%
","
95.2%
","
6.02
","
B+ (3.52)
","
B+ (3.41)
"
"Adrian, Julia Anna","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",S221,35,"
20
","
95.0%
","
100.0%
","
4.50
","
B+ (3.35)
","
B- (2.98)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI21,56,"
23
","
91.3%
","
100.0%
","
5.80
","
B+ (3.57)
","
B+ (3.44)
"
"Adrian, Julia Anna","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",S120,36,"
24
","
100.0%
","
100.0%
","
6.25
","
B+ (3.65)
","
B+ (3.37)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",SP20,53,"
20
","
95.0%
","
95.0%
","
5.80
","
A- (3.71)
","
A- (3.72)
"
"Adrian, Julia Anna","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI20,63,"
45
","
86.7%
","
86.4%
","
4.77
","
B (3.26)
","
B (3.15)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",SP19,74,"
20
","
83.3%
","
88.9%
","
5.87
","
B (3.11)
","
B- (2.89)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",SP17,38,"
13
","
83.3%
","
91.7%
","
5.83
","
B+ (3.50)
","
B (3.04)
"
"Gonzalez, Marybel Robledo","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",S116,17,"
7
","
100.0%
","
100.0%
","
6.21
","
B+ (3.50)
","
N/A
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",FA15,49,"
27
","
84.6%
","
84.6%
","
5.73
","
B+ (3.32)
","
B+ (3.38)
"
"Haist, Frank","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI15,32,"
12
","
90.9%
","
100.0%
","
3.59
","
B+ (3.44)
","
B (3.19)
"
"Haist, Frank","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",SP14,44,"
20
","
85.0%
","
90.0%
","
6.30
","
B+ (3.47)
","
B- (2.72)
"
"Deak, Gedeon O.","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",SP13,52,"
17
","
64.7%
","
88.2%
","
4.63
","
B+ (3.53)
","
B+ (3.46)
"
"Stiles, Joan                       ","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI10,68,"
35
","
74.3%
","
85.7%
","
5.99
","
B+ (3.31)
","
C+ (2.61)
"
"Stiles, Joan","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI09,51,"
29
","
86.2%
","
86.2%
","
4.09
","
B (3.07)
","
B- (2.75)
"
"Stiles, Joan                  ","
COGS 115 - Neurologcl Devlp & Cogntv Chng (A)
",WI08,32,"
23
","
87.0%
","
91.3%
","
4.59
","
B+ (3.30)
","
B- (2.85)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Greene, Deanna Jacquelyn","
COGS 116 - Developmental Cog Neuroscience (A)
",FA22,93,"
47
","
100.0%
","
97.8%
","
4.05
","
B+ (3.61)
","
B (3.29)
"
"Greene, Deanna Jacquelyn","
COGS 116 - Developmental Cog Neuroscience (A)
",SP22,52,"
33
","
97.0%
","
100.0%
","
4.20
","
B+ (3.63)
","
B+ (3.38)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Fleischer, Jason G","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",SP23,158,"
79
","
81.6%
","
73.3%
","
7.32
","
B (3.15)
","
B (3.19)
"
"Fleischer, Jason G","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",WI23,184,"
139
","
83.2%
","
84.6%
","
7.91
","
B (3.29)
","
B+ (3.34)
"
"Gupta, Anjum","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",S122,55,"
41
","
95.1%
","
95.1%
","
7.28
","
B+ (3.48)
","
B+ (3.50)
"
"Fleischer, Jason G","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",SP22,252,"
125
","
90.3%
","
84.7%
","
7.70
","
B+ (3.38)
","
B+ (3.59)
"
"Fleischer, Jason G","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",WI21,192,"
158
","
93.7%
","
94.3%
","
7.46
","
B+ (3.47)
","
B+ (3.42)
"
"Fleischer, Jason G","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",FA20,95,"
78
","
97.4%
","
97.4%
","
7.39
","
B+ (3.55)
","
B+ (3.44)
"
"Tu, Zhuowen","
COGS 118A - Supvr/Mach Learning Algorithms (A)
",WI20,192,"
69
","
92.4%
","
93.9%
","
6.83
","
B+ (3.62)
","
B+ (3.53)
"
"Tu, Zhuowen","
COGS 118A - Intro to Machine Learning I (A)
",SP19,190,"
137
","
87.3%
","
68.4%
","
7.38
","
B+ (3.41)
","
B+ (3.41)
"
"Tu, Zhuowen","
COGS 118A - Intro to Machine Learning I (A)
",FA18,154,"
59
","
83.0%
","
75.5%
","
9.44
","
B+ (3.37)
","
B+ (3.51)
"
"Tu, Zhuowen","
COGS 118A - Intro to Machine Learning I (A)
",WI18,165,"
74
","
91.9%
","
83.8%
","
7.28
","
A- (3.73)
","
B+ (3.62)
"
"Tu, Zhuowen","
COGS 118A - Intro to Machine Learning I (A)
",SP17,105,"
41
","
92.5%
","
75.0%
","
8.65
","
B+ (3.54)
","
B+ (3.55)
"
"Tu, Zhuowen","
COGS 118A - Natural Computation I (A)
",WI16,74,"
38
","
97.2%
","
86.1%
","
8.56
","
B+ (3.48)
","
B+ (3.67)
"
"Tu, Zhuowen","
COGS 118A - Natural Computation I (A)
",WI15,22,"
11
","
100.0%
","
90.0%
","
9.10
","
A- (3.89)
","
B+ (3.44)
"
"Tu, Zhuowen","
COGS 118A - Natural Computation I (A)
",WI14,26,"
15
","
85.7%
","
85.7%
","
8.64
","
B+ (3.42)
","
A- (3.76)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning (A)
",FA22,160,"
76
","
89.2%
","
87.8%
","
7.83
","
B+ (3.42)
","
A- (3.75)
"
"Gupta, Anjum","
COGS 118B - Intro to Machine Learning (A)
",S222,46,"
33
","
100.0%
","
100.0%
","
8.38
","
B+ (3.47)
","
B+ (3.31)
"
"Mattar, Marcelo G","
COGS 118B - Intro to Machine Learning II (A)
",WI22,156,"
138
","
94.2%
","
94.8%
","
8.82
","
B+ (3.51)
","
B+ (3.38)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA21,144,"
58
","
84.2%
","
94.7%
","
7.59
","
B+ (3.66)
","
A- (3.84)
"
"Mattar, Marcelo G","
COGS 118B - Intro to Machine Learning II (A)
",SP21,165,"
144
","
87.5%
","
84.6%
","
7.93
","
B+ (3.40)
","
B+ (3.31)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA20,42,"
20
","
89.5%
","
100.0%
","
9.45
","
A- (3.79)
","
A- (3.84)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA19,170,"
52
","
90.4%
","
90.4%
","
7.05
","
B+ (3.31)
","
B+ (3.64)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA18,121,"
34
","
75.8%
","
87.9%
","
8.26
","
B+ (3.41)
","
A- (3.71)
"
"De Sa, Virginia","
COGS 118B - Intro to Machine Learning II (A)
",FA17,78,"
32
","
96.8%
","
96.8%
","
7.66
","
A- (3.79)
","
A- (3.82)
"
"De Sa, Virginia","
COGS 118B - Natural Computation II (A)
",FA16,55,"
19
","
94.4%
","
100.0%
","
6.50
","
B+ (3.53)
","
A- (3.87)
"
"De Sa, Virginia","
COGS 118B - Natural Computation II (A)
",FA15,25,"
11
","
100.0%
","
100.0%
","
7.50
","
B+ (3.55)
","
A- (3.87)
"
"De Sa, Virginia","
COGS 118B - Natural Computation II (A)
",FA14,16,"
11
","
100.0%
","
100.0%
","
6.50
","
B+ (3.60)
","
N/A
"
"De Sa, Virginia","
COGS 118B - Natural Computation II (A)
",WI13,20,"
14
","
92.3%
","
92.3%
","
6.35
","
B+ (3.69)
","
A- (3.87)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",WI23,68,"
28
","
82.1%
","
82.1%
","
8.79
","
B+ (3.37)
","
B+ (3.47)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",FA20,51,"
25
","
87.5%
","
91.7%
","
9.14
","
B (3.09)
","
B- (2.99)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",SP20,94,"
42
","
92.7%
","
92.7%
","
8.40
","
B+ (3.63)
","
A- (3.74)
"
"Gao, Richard","
COGS 118C - Neural Signal Processing (A)
",S119,33,"
29
","
93.1%
","
100.0%
","
8.07
","
B+ (3.64)
","
B+ (3.66)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",SP19,48,"
33
","
90.6%
","
96.9%
","
8.44
","
B+ (3.39)
","
B (3.15)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",SP18,43,"
21
","
100.0%
","
100.0%
","
8.20
","
B+ (3.35)
","
A- (3.72)
"
"Mukamel, Eran A","
COGS 118C - Neural Signal Processing (A)
",SP17,18,"
13
","
100.0%
","
100.0%
","
6.33
","
B+ (3.50)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Yu, Angela J.","
COGS 118D - Stats/Behavioral Data Analysis (A)
",WI18,24,"
18
","
55.6%
","
55.6%
","
11.79
","
B (3.29)
","
B+ (3.54)
"
"Yu, Angela J.","
COGS 118D - Stats/Behavioral Data Analysis (A)
",WI17,13,"
13
","
76.9%
","
84.6%
","
10.04
","
A- (3.75)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA19,22,"
11
","
90.9%
","
72.7%
","
4.14
","
A- (3.91)
","
A- (3.86)
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",SP19,17,"
7
","
83.3%
","
66.7%
","
3.83
","
A- (3.83)
","
N/A
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA18,36,"
22
","
90.0%
","
85.0%
","
6.50
","
B+ (3.63)
","
B+ (3.41)
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA17,16,"
6
","
83.3%
","
83.3%
","
5.50
","
A (4.00)
","
N/A
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA16,16,"
11
","
90.9%
","
27.3%
","
6.68
","
A- (3.73)
","
N/A
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",WI16,9,"
6
","
80.0%
","
100.0%
","
8.50
","
B+ (3.60)
","
N/A
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA14,10,"
4
","
100.0%
","
100.0%
","
7.17
","
B+ (3.67)
","
N/A
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA13,27,"
9
","
100.0%
","
75.0%
","
4.50
","
B+ (3.38)
","
B (3.14)
"
"Urgen, Burcu A","
COGS 119 - Programming/Experimental Res. (B)
",FA13,31,"
12
","
81.8%
","
81.8%
","
9.59
","
B+ (3.36)
","
B+ (3.31)
"
"Saygin, Ayse P","
COGS 119 - Programming/Experimental Res. (A)
",FA12,7,"
4
","
100.0%
","
100.0%
","
5.00
","
A (4.00)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Rill, Bryan","
COGS 12 - Language, Culture & Cognition (B)
",SP23,42,"
9
","
66.7%
","
77.8%
","
3.61
","
A- (3.75)
","
B (3.28)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",SP22,47,"
17
","
76.5%
","
76.5%
","
2.62
","
A- (3.88)
","
B+ (3.42)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",SP21,46,"
18
","
100.0%
","
94.1%
","
5.21
","
A (4.00)
","
A- (3.70)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",SP20,47,"
14
","
85.7%
","
78.6%
","
3.79
","
B+ (3.69)
","
A- (3.87)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",SP19,56,"
21
","
90.5%
","
90.5%
","
2.69
","
A- (3.78)
","
B+ (3.37)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",WI18,47,"
20
","
94.7%
","
94.7%
","
3.45
","
B+ (3.65)
","
B+ (3.41)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",WI17,42,"
16
","
92.3%
","
100.0%
","
2.81
","
A- (3.77)
","
B+ (3.52)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",FA15,33,"
17
","
93.8%
","
93.8%
","
2.50
","
B+ (3.60)
","
A (4.00)
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",FA14,14,"
6
","
100.0%
","
100.0%
","
4.00
","
B (3.00)
","
N/A
"
"Boroditsky, Lera","
COGS 12 - Language, Culture & Cognition (A)
",WI14,8,"
4
","
75.0%
","
100.0%
","
4.50
","
B+ (3.33)
","
N/A
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Xia, Haijun","
COGS 120 - Interaction Design (A)
",FA22,204,"
147
","
76.7%
","
84.9%
","
4.50
","
A- (3.75)
","
B+ (3.60)
"
"Xia, Haijun","
COGS 120 - Interaction Design (A)
",WI22,106,"
78
","
75.6%
","
87.0%
","
4.71
","
B+ (3.53)
","
B+ (3.45)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI21,124,"
77
","
33.8%
","
20.0%
","
9.43
","
B+ (3.45)
","
B+ (3.66)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI20,122,"
51
","
61.2%
","
32.7%
","
9.68
","
B+ (3.35)
","
B+ (3.36)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI19,141,"
61
","
67.2%
","
31.6%
","
11.45
","
B+ (3.31)
","
B+ (3.38)
"
"Guo, Philip J","
COGS 120 - Interaction Design (A)
",FA18,150,"
72
","
95.3%
","
100.0%
","
7.17
","
B+ (3.58)
","
A- (3.83)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI18,155,"
76
","
80.3%
","
69.0%
","
10.90
","
B+ (3.36)
","
B+ (3.49)
"
"Guo, Philip J","
COGS 120 - Interaction Design (A)
",FA17,68,"
25
","
100.0%
","
100.0%
","
8.42
","
A- (3.72)
","
A- (3.87)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI17,107,"
35
","
89.7%
","
93.1%
","
10.50
","
B (3.28)
","
B (3.25)
"
"Guo, Philip J","
COGS 120 - Interaction Design (A)
",FA16,135,"
77
","
94.5%
","
93.2%
","
9.40
","
B+ (3.63)
","
A- (3.77)
"
"Klemmer, Scott R","
COGS 120 - Interaction Design (A)
",WI16,112,"
48
","
90.5%
","
92.9%
","
9.96
","
B+ (3.59)
","
B+ (3.58)
"
"Klemmer, Scott R","
COGS 120 - Introduction to HCI Design (A)
",WI15,119,"
59
","
85.2%
","
83.3%
","
9.81
","
B+ (3.38)
","
B (3.25)
"
"Klemmer, Scott R","
COGS 120 - Introduction to HCI Design (A)
",WI14,96,"
37
","
73.5%
","
79.4%
","
9.89
","
B (3.22)
","
B+ (3.39)
"
"Hollan, James D.","
COGS 120 - Human Computer Interaction (A)
",FA12,109,"
35
","
83.3%
","
80.0%
","
5.77
","
B (3.14)
","
B (3.16)
"
"Hollan, James D.                   ","
COGS 120 - Human Computer Interaction     (A)
",FA10,79,"
40
","
82.5%
","
75.0%
","
4.50
","
B (3.06)
","
B+ (3.33)
"
"Hollan, James D.                   ","
COGS 120 - Human Computer Interaction     (A)
",WI10,65,"
31
","
83.9%
","
80.6%
","
4.69
","
B (3.24)
","
B (3.20)
"
"Hollan, James D.                   ","
COGS 120 - Human Computer Interaction     (A)
",FA08,50,"
34
","
94.1%
","
94.1%
","
4.09
","
B+ (3.39)
","
B (3.10)
"
"Hollan, James D.              ","
COGS 120 - Human Computer Interaction     (A)
",FA07,53,"
27
","
88.9%
","
96.3%
","
3.83
","
B+ (3.65)
","
B+ (3.38)
"
Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Guo, Philip J","
COGS 121 - HCI Portfolio Design Studio (A)
",SP23,121,"
29
","
96.4%
","
96.4%
","
5.04
","
A- (3.88)
","
A- (3.72)
"
